"field_name","field_group","source","retrieval_required","llm_required","lov_validation_required","uom_normalization_required","deterministic_rules_can_generate","character_limit","validation_requirements","notes_from_supplied_files_only"
"MFR URL","Evidence URLs","Manufacturer site or manufacturer documentation (ground truth.docx sourcing rules). Not on the 1000-item raw input.","Yes","No","No","No","Partial: capture URLs returned by retrieval; no URL construction rule supplied","Not specified in supplied files","Must be the manufacturer's own site or documentation; marketplaces and distributor sites are excluded (ground truth.docx).","Delivery Format on disk has 2 rows, 252 columns. MFR URL filled on both. Ref URL 1-2 filled only on the Whirlpool row (owners-manual and installation-instructions PDFs on whirlpool.com). Ref URL 3-5 empty."
"Ref URL 1","Evidence URLs","Manufacturer site or manufacturer documentation (ground truth.docx sourcing rules). Not on the 1000-item raw input.","Yes","No","No","No","Partial: capture URLs returned by retrieval; no URL construction rule supplied","Not specified in supplied files","Must be the manufacturer's own site or documentation; marketplaces and distributor sites are excluded (ground truth.docx).","Delivery Format on disk has 2 rows, 252 columns. MFR URL filled on both. Ref URL 1-2 filled only on the Whirlpool row (owners-manual and installation-instructions PDFs on whirlpool.com). Ref URL 3-5 empty."
"Ref URL 2","Evidence URLs","Manufacturer site or manufacturer documentation (ground truth.docx sourcing rules). Not on the 1000-item raw input.","Yes","No","No","No","Partial: capture URLs returned by retrieval; no URL construction rule supplied","Not specified in supplied files","Must be the manufacturer's own site or documentation; marketplaces and distributor sites are excluded (ground truth.docx).","Delivery Format on disk has 2 rows, 252 columns. MFR URL filled on both. Ref URL 1-2 filled only on the Whirlpool row (owners-manual and installation-instructions PDFs on whirlpool.com). Ref URL 3-5 empty."
"Ref URL 3","Evidence URLs","Manufacturer site or manufacturer documentation (ground truth.docx sourcing rules). Not on the 1000-item raw input.","Yes","No","No","No","Partial: capture URLs returned by retrieval; no URL construction rule supplied","Not specified in supplied files","Must be the manufacturer's own site or documentation; marketplaces and distributor sites are excluded (ground truth.docx).","Delivery Format on disk has 2 rows, 252 columns. MFR URL filled on both. Ref URL 1-2 filled only on the Whirlpool row (owners-manual and installation-instructions PDFs on whirlpool.com). Ref URL 3-5 empty."
"Ref URL 4","Evidence URLs","Manufacturer site or manufacturer documentation (ground truth.docx sourcing rules). Not on the 1000-item raw input.","Yes","No","No","No","Partial: capture URLs returned by retrieval; no URL construction rule supplied","Not specified in supplied files","Must be the manufacturer's own site or documentation; marketplaces and distributor sites are excluded (ground truth.docx).","Delivery Format on disk has 2 rows, 252 columns. MFR URL filled on both. Ref URL 1-2 filled only on the Whirlpool row (owners-manual and installation-instructions PDFs on whirlpool.com). Ref URL 3-5 empty."
"Ref URL 5","Evidence URLs","Manufacturer site or manufacturer documentation (ground truth.docx sourcing rules). Not on the 1000-item raw input.","Yes","No","No","No","Partial: capture URLs returned by retrieval; no URL construction rule supplied","Not specified in supplied files","Must be the manufacturer's own site or documentation; marketplaces and distributor sites are excluded (ground truth.docx).","Delivery Format on disk has 2 rows, 252 columns. MFR URL filled on both. Ref URL 1-2 filled only on the Whirlpool row (owners-manual and installation-instructions PDFs on whirlpool.com). Ref URL 3-5 empty."
"PART_NUMBER","Distributor identifiers","Present in Delivery Format excerpt. Not in the 1000-item raw input. Not listed among fields the 200-item Input sheet adds (Dept / Class / Fine / SKU). Origin rule not supplied.","Not specified in supplied files","No","No","No","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","The 200-item Input sheet was not supplied; ground truth.docx says Input adds Dept / Class / Fine and SKU to the raw columns. Excerpt values: 20887830, 25286031."
"Dept","200-item input taxonomy/SKU","ground truth.docx: 200-item Input sheet = 200 raw rows and adds Dept / Class / Fine and SKU. Not on the 1000-item 6-column file.","No","No","No","No","Yes, if 200-item Input is provided: copy from input","Not specified in supplied files","Not specified in supplied files","The 200-item Input sheet was not supplied; ground truth.docx says Input adds Dept / Class / Fine and SKU to the raw columns. Excerpt: Appliances on both excerpt rows."
"Class","200-item input taxonomy/SKU","ground truth.docx: 200-item Input sheet = 200 raw rows and adds Dept / Class / Fine and SKU. Not on the 1000-item 6-column file.","No","No","No","No","Yes, if 200-item Input is provided: copy from input","Not specified in supplied files","Not specified in supplied files","The 200-item Input sheet was not supplied; ground truth.docx says Input adds Dept / Class / Fine and SKU to the raw columns. Excerpt: Large Appliances on both excerpt rows."
"Fine","200-item input taxonomy/SKU","ground truth.docx: 200-item Input sheet = 200 raw rows and adds Dept / Class / Fine and SKU. Not on the 1000-item 6-column file.","No","No","No","No","Yes, if 200-item Input is provided: copy from input","Not specified in supplied files","Not specified in supplied files","The 200-item Input sheet was not supplied; ground truth.docx says Input adds Dept / Class / Fine and SKU to the raw columns. Excerpt: Dishwashers on both excerpt rows."
